customer_id,predicted_churn_probability,risk_bucket,risk_score,age,customer_tenure_months,current_premium,num_policies,missed_payment_flag,complaint_flag,coverage_downgrade_flag,quote_requested_flag,premium_change_pct,recommended_action
42427,0.9975,1_Critico,5,20,10,697.28,1,1,1,1,0,0.1566,1_Llamada gerencial + oferta premium
45564,0.9974,1_Critico,3,18,6,1684.09,1,1,0,0,1,0.0601,1_Llamada gerencial + oferta premium
17726,0.9971,1_Critico,4,76,7,808.76,1,1,0,0,1,0.1586,1_Llamada gerencial + oferta premium
46719,0.9967,1_Critico,3,18,8,1157.87,1,1,0,0,0,0.1116,1_Llamada gerencial + oferta premium
3439,0.9964,1_Critico,3,81,6,1811.52,1,1,0,0,0,0.1155,1_Llamada gerencial + oferta premium
44681,0.996,1_Critico,2,59,1,1097.07,1,1,0,0,0,0.0745,1_Llamada gerencial + oferta premium
16051,0.9958,1_Critico,4,71,1,1927.87,1,1,0,0,1,0.1612,1_Llamada gerencial + oferta premium
38310,0.9957,1_Critico,3,85,1,1015.51,1,1,0,0,0,0.1008,1_Llamada gerencial + oferta premium
7449,0.9953,1_Critico,3,67,1,1969.74,1,1,0,0,0,0.1212,1_Llamada gerencial + oferta premium
20638,0.995,1_Critico,3,84,8,1660.62,1,1,0,0,0,0.1345,1_Llamada gerencial + oferta premium
1787,0.995,1_Critico,4,31,4,792.19,1,1,0,0,1,0.1436,1_Llamada gerencial + oferta premium
14437,0.9949,1_Critico,2,81,5,780.41,1,1,0,0,0,0.085,1_Llamada gerencial + oferta premium
48941,0.9949,1_Critico,4,30,21,2002.67,1,1,1,0,0,0.1375,1_Llamada gerencial + oferta premium
9021,0.9947,1_Critico,3,69,9,2550.28,1,1,0,0,0,0.1098,1_Llamada gerencial + oferta premium
38556,0.9945,1_Critico,3,45,6,1492.07,1,0,1,0,1,0.1564,1_Llamada gerencial + oferta premium
10424,0.9945,1_Critico,3,34,1,1121.59,1,1,0,0,0,0.1245,1_Llamada gerencial + oferta premium
28097,0.9943,1_Critico,4,71,1,919.95,1,0,1,0,1,0.1279,1_Llamada gerencial + oferta premium
26601,0.9943,1_Critico,3,72,12,1786.79,1,0,1,0,1,0.1856,1_Llamada gerencial + oferta premium
28219,0.9942,1_Critico,3,28,8,805.42,1,0,1,0,1,0.1327,1_Llamada gerencial + oferta premium
28266,0.9941,1_Critico,3,75,7,1008.83,2,0,1,0,0,0.1562,1_Llamada gerencial + oferta premium
17088,0.994,1_Critico,2,84,2,2051.57,1,1,0,0,0,0.0824,1_Llamada gerencial + oferta premium
34197,0.994,1_Critico,3,52,1,1685.09,1,1,0,1,0,0.0705,1_Llamada gerencial + oferta premium
30018,0.9939,1_Critico,2,47,9,1929.72,1,1,0,0,0,0.0722,1_Llamada gerencial + oferta premium
42452,0.9936,1_Critico,2,23,5,810.43,1,0,1,0,0,0.1766,1_Llamada gerencial + oferta premium
6437,0.9935,1_Critico,5,73,9,1038.82,1,1,0,1,1,0.1361,1_Llamada gerencial + oferta premium
34770,0.9935,1_Critico,3,28,163,1126.29,1,0,1,0,1,0.217,1_Llamada gerencial + oferta premium
37606,0.9933,1_Critico,3,28,11,1300.7,1,1,0,0,0,0.1832,1_Llamada gerencial + oferta premium
15872,0.9933,1_Critico,3,38,4,1059.97,1,1,0,0,1,0.0559,1_Llamada gerencial + oferta premium
33579,0.9932,1_Critico,2,34,9,520.22,1,0,1,0,0,0.1648,1_Llamada gerencial + oferta premium
42286,0.9932,1_Critico,3,80,2,1632.15,4,0,1,0,0,0.105,1_Llamada gerencial + oferta premium
13189,0.993,1_Critico,3,85,2,1917.85,1,0,1,0,0,0.1702,1_Llamada gerencial + oferta premium
23922,0.9928,1_Critico,2,51,11,1257.18,1,0,1,0,0,0.2195,1_Llamada gerencial + oferta premium
30958,0.9926,1_Critico,2,25,2,949.43,1,1,0,0,0,0.0647,1_Llamada gerencial + oferta premium
9197,0.9926,1_Critico,4,80,9,1418.31,3,1,0,1,0,0.1885,1_Llamada gerencial + oferta premium
946,0.9924,1_Critico,3,26,9,1628.83,1,0,1,1,0,0.1532,1_Llamada gerencial + oferta premium
49678,0.9923,1_Critico,3,56,4,564.35,1,1,0,0,0,0.1123,1_Llamada gerencial + oferta premium
49864,0.992,1_Critico,3,49,5,1454.91,1,1,0,0,0,0.1235,1_Llamada gerencial + oferta premium
36329,0.9919,1_Critico,2,41,2,1158.65,1,1,0,0,0,0.0853,1_Llamada gerencial + oferta premium
12974,0.9919,1_Critico,3,35,1,1110.57,1,1,0,0,0,0.1114,1_Llamada gerencial + oferta premium
