customer_id,predicted_churn_probability,risk_bucket,age,customer_tenure_months,current_premium,num_policies,recommended_action
3,0.3232,4_Bajo,62,129,984.7,1,Cross-sell prioritario (mono-póliza estable)
6,0.1932,4_Bajo,76,88,832.83,1,Cross-sell prioritario (mono-póliza estable)
8,0.3422,4_Bajo,65,105,562.53,1,Cross-sell prioritario (mono-póliza estable)
10,0.2285,4_Bajo,24,154,809.29,1,Cross-sell prioritario (mono-póliza estable)
13,0.132,4_Bajo,68,100,815.1,1,Cross-sell prioritario (mono-póliza estable)
14,0.1523,4_Bajo,69,36,1004.1,1,Cross-sell prioritario (mono-póliza estable)
15,0.2163,4_Bajo,66,133,1016.26,1,Cross-sell prioritario (mono-póliza estable)
21,0.2117,4_Bajo,52,80,730.92,1,Cross-sell prioritario (mono-póliza estable)
22,0.2739,4_Bajo,43,136,1808.98,1,Cross-sell prioritario (mono-póliza estable)
27,0.2035,4_Bajo,45,163,579.96,1,Cross-sell prioritario (mono-póliza estable)
29,0.1418,4_Bajo,55,146,692.54,1,Cross-sell prioritario (mono-póliza estable)
40,0.1872,4_Bajo,60,19,1205.09,1,Cross-sell prioritario (mono-póliza estable)
43,0.3483,4_Bajo,65,117,755.53,1,Cross-sell prioritario (mono-póliza estable)
44,0.2611,4_Bajo,42,163,963.73,1,Cross-sell prioritario (mono-póliza estable)
45,0.3133,4_Bajo,22,135,901.6,1,Cross-sell prioritario (mono-póliza estable)
50,0.3359,4_Bajo,70,132,785.79,1,Cross-sell prioritario (mono-póliza estable)
52,0.1931,4_Bajo,31,160,253.49,1,Cross-sell prioritario (mono-póliza estable)
54,0.0865,4_Bajo,49,162,1213.75,1,Cross-sell prioritario (mono-póliza estable)
65,0.2024,4_Bajo,45,77,1214.11,1,Cross-sell prioritario (mono-póliza estable)
73,0.1381,4_Bajo,49,141,207.57,1,Cross-sell prioritario (mono-póliza estable)
76,0.3177,4_Bajo,50,165,120.0,1,Cross-sell prioritario (mono-póliza estable)
77,0.1929,4_Bajo,40,21,1329.14,1,Cross-sell prioritario (mono-póliza estable)
81,0.3493,4_Bajo,81,151,1041.64,1,Cross-sell prioritario (mono-póliza estable)
88,0.3441,4_Bajo,39,64,1194.73,1,Cross-sell prioritario (mono-póliza estable)
97,0.1968,4_Bajo,34,122,512.78,1,Cross-sell prioritario (mono-póliza estable)
103,0.1583,4_Bajo,72,48,774.14,1,Cross-sell prioritario (mono-póliza estable)
106,0.2447,4_Bajo,71,136,1004.73,1,Cross-sell prioritario (mono-póliza estable)
107,0.1789,4_Bajo,71,172,546.14,1,Cross-sell prioritario (mono-póliza estable)
109,0.3382,4_Bajo,50,139,1167.72,1,Cross-sell prioritario (mono-póliza estable)
110,0.3275,4_Bajo,65,82,680.02,1,Cross-sell prioritario (mono-póliza estable)
114,0.3264,4_Bajo,49,104,285.46,1,Cross-sell prioritario (mono-póliza estable)
115,0.3327,4_Bajo,52,26,962.04,1,Cross-sell prioritario (mono-póliza estable)
117,0.2905,4_Bajo,20,76,1257.34,1,Cross-sell prioritario (mono-póliza estable)
120,0.2793,4_Bajo,25,172,724.04,1,Cross-sell prioritario (mono-póliza estable)
134,0.2175,4_Bajo,56,102,642.13,1,Cross-sell prioritario (mono-póliza estable)
146,0.2798,4_Bajo,76,82,1126.12,1,Cross-sell prioritario (mono-póliza estable)
150,0.2647,4_Bajo,21,168,869.54,1,Cross-sell prioritario (mono-póliza estable)
159,0.2398,4_Bajo,52,150,1354.24,1,Cross-sell prioritario (mono-póliza estable)
162,0.3017,4_Bajo,63,23,1250.79,1,Cross-sell prioritario (mono-póliza estable)
165,0.2033,4_Bajo,46,66,1953.56,1,Cross-sell prioritario (mono-póliza estable)
166,0.3486,4_Bajo,73,177,1081.2,1,Cross-sell prioritario (mono-póliza estable)
167,0.1854,4_Bajo,39,122,518.07,1,Cross-sell prioritario (mono-póliza estable)
169,0.2041,4_Bajo,40,93,1079.95,1,Cross-sell prioritario (mono-póliza estable)
172,0.3114,4_Bajo,24,105,557.38,1,Cross-sell prioritario (mono-póliza estable)
175,0.1515,4_Bajo,65,143,120.0,1,Cross-sell prioritario (mono-póliza estable)
178,0.2839,4_Bajo,28,160,923.36,1,Cross-sell prioritario (mono-póliza estable)
181,0.2321,4_Bajo,81,125,900.04,1,Cross-sell prioritario (mono-póliza estable)
182,0.1956,4_Bajo,28,125,1148.85,1,Cross-sell prioritario (mono-póliza estable)
185,0.1132,4_Bajo,51,130,1033.17,1,Cross-sell prioritario (mono-póliza estable)
191,0.2493,4_Bajo,64,154,723.34,1,Cross-sell prioritario (mono-póliza estable)
192,0.2246,4_Bajo,60,27,565.75,1,Cross-sell prioritario (mono-póliza estable)
193,0.2177,4_Bajo,59,67,1819.4,1,Cross-sell prioritario (mono-póliza estable)
194,0.1686,4_Bajo,42,102,576.17,1,Cross-sell prioritario (mono-póliza estable)
196,0.2965,4_Bajo,23,70,981.73,1,Cross-sell prioritario (mono-póliza estable)
201,0.2504,4_Bajo,42,145,1338.06,1,Cross-sell prioritario (mono-póliza estable)
205,0.2351,4_Bajo,49,46,999.74,1,Cross-sell prioritario (mono-póliza estable)
208,0.3364,4_Bajo,83,55,430.77,1,Cross-sell prioritario (mono-póliza estable)
210,0.2924,4_Bajo,70,167,650.06,1,Cross-sell prioritario (mono-póliza estable)
213,0.297,4_Bajo,71,111,284.19,1,Cross-sell prioritario (mono-póliza estable)
214,0.2332,4_Bajo,48,74,546.59,1,Cross-sell prioritario (mono-póliza estable)
219,0.2015,4_Bajo,48,41,1511.38,1,Cross-sell prioritario (mono-póliza estable)
224,0.3415,4_Bajo,31,166,716.52,1,Cross-sell prioritario (mono-póliza estable)
238,0.2736,4_Bajo,47,37,1454.47,1,Cross-sell prioritario (mono-póliza estable)
239,0.194,4_Bajo,38,29,971.57,1,Cross-sell prioritario (mono-póliza estable)
248,0.234,4_Bajo,46,109,1329.11,1,Cross-sell prioritario (mono-póliza estable)
253,0.2861,4_Bajo,30,157,883.43,1,Cross-sell prioritario (mono-póliza estable)
255,0.2665,4_Bajo,62,124,1209.32,1,Cross-sell prioritario (mono-póliza estable)
260,0.3374,4_Bajo,57,145,1203.93,1,Cross-sell prioritario (mono-póliza estable)
263,0.3358,4_Bajo,38,139,954.33,1,Cross-sell prioritario (mono-póliza estable)
268,0.2469,4_Bajo,41,69,932.91,1,Cross-sell prioritario (mono-póliza estable)
269,0.2032,4_Bajo,59,169,781.64,1,Cross-sell prioritario (mono-póliza estable)
270,0.2905,4_Bajo,58,175,1293.44,1,Cross-sell prioritario (mono-póliza estable)
277,0.2779,4_Bajo,49,111,723.9,1,Cross-sell prioritario (mono-póliza estable)
280,0.1696,4_Bajo,23,78,990.54,1,Cross-sell prioritario (mono-póliza estable)
289,0.1198,4_Bajo,54,178,1732.45,1,Cross-sell prioritario (mono-póliza estable)
290,0.1697,4_Bajo,50,39,881.79,1,Cross-sell prioritario (mono-póliza estable)
291,0.2151,4_Bajo,72,153,1019.4,1,Cross-sell prioritario (mono-póliza estable)
295,0.3358,4_Bajo,55,119,1861.04,1,Cross-sell prioritario (mono-póliza estable)
299,0.3107,4_Bajo,37,139,1171.45,1,Cross-sell prioritario (mono-póliza estable)
307,0.2225,4_Bajo,38,57,1507.85,1,Cross-sell prioritario (mono-póliza estable)
309,0.1981,4_Bajo,39,116,948.52,1,Cross-sell prioritario (mono-póliza estable)
313,0.2063,4_Bajo,26,140,2038.23,1,Cross-sell prioritario (mono-póliza estable)
320,0.1573,4_Bajo,70,122,120.0,1,Cross-sell prioritario (mono-póliza estable)
323,0.1244,4_Bajo,59,138,1185.8,1,Cross-sell prioritario (mono-póliza estable)
328,0.2598,4_Bajo,20,148,1161.53,1,Cross-sell prioritario (mono-póliza estable)
330,0.2731,4_Bajo,55,142,799.71,1,Cross-sell prioritario (mono-póliza estable)
331,0.2354,4_Bajo,55,76,643.43,1,Cross-sell prioritario (mono-póliza estable)
335,0.3095,4_Bajo,49,72,1522.44,1,Cross-sell prioritario (mono-póliza estable)
336,0.2498,4_Bajo,72,139,596.38,1,Cross-sell prioritario (mono-póliza estable)
340,0.3147,4_Bajo,82,24,881.63,1,Cross-sell prioritario (mono-póliza estable)
341,0.2642,4_Bajo,61,94,1578.54,1,Cross-sell prioritario (mono-póliza estable)
343,0.1985,4_Bajo,60,78,1617.84,1,Cross-sell prioritario (mono-póliza estable)
350,0.2502,4_Bajo,29,90,1400.91,1,Cross-sell prioritario (mono-póliza estable)
354,0.2194,4_Bajo,47,178,686.64,1,Cross-sell prioritario (mono-póliza estable)
368,0.157,4_Bajo,39,171,809.98,1,Cross-sell prioritario (mono-póliza estable)
386,0.2073,4_Bajo,26,81,131.63,1,Cross-sell prioritario (mono-póliza estable)
391,0.1674,4_Bajo,68,44,946.18,1,Cross-sell prioritario (mono-póliza estable)
402,0.335,4_Bajo,70,168,1527.92,1,Cross-sell prioritario (mono-póliza estable)
403,0.1347,4_Bajo,39,34,1426.42,1,Cross-sell prioritario (mono-póliza estable)
407,0.2093,4_Bajo,47,101,1052.83,1,Cross-sell prioritario (mono-póliza estable)
412,0.3474,4_Bajo,33,70,723.48,1,Cross-sell prioritario (mono-póliza estable)
413,0.2066,4_Bajo,36,140,994.4,1,Cross-sell prioritario (mono-póliza estable)
416,0.2141,4_Bajo,64,115,187.46,1,Cross-sell prioritario (mono-póliza estable)
419,0.3247,4_Bajo,38,97,875.06,1,Cross-sell prioritario (mono-póliza estable)
422,0.3263,4_Bajo,65,71,709.28,1,Cross-sell prioritario (mono-póliza estable)
424,0.2651,4_Bajo,57,141,691.47,1,Cross-sell prioritario (mono-póliza estable)
433,0.1775,4_Bajo,74,167,1166.56,1,Cross-sell prioritario (mono-póliza estable)
435,0.1938,4_Bajo,47,140,1472.47,1,Cross-sell prioritario (mono-póliza estable)
437,0.1803,4_Bajo,56,177,922.3,1,Cross-sell prioritario (mono-póliza estable)
438,0.1953,4_Bajo,81,31,991.68,1,Cross-sell prioritario (mono-póliza estable)
442,0.1522,4_Bajo,38,166,851.68,1,Cross-sell prioritario (mono-póliza estable)
444,0.2905,4_Bajo,51,61,1493.19,1,Cross-sell prioritario (mono-póliza estable)
447,0.3054,4_Bajo,39,17,1752.64,1,Cross-sell prioritario (mono-póliza estable)
454,0.1838,4_Bajo,19,150,1135.55,1,Cross-sell prioritario (mono-póliza estable)
455,0.2717,4_Bajo,58,107,768.76,1,Cross-sell prioritario (mono-póliza estable)
458,0.2042,4_Bajo,61,153,683.41,1,Cross-sell prioritario (mono-póliza estable)
461,0.3186,4_Bajo,67,149,1113.71,1,Cross-sell prioritario (mono-póliza estable)
464,0.338,4_Bajo,46,179,233.91,1,Cross-sell prioritario (mono-póliza estable)
472,0.183,4_Bajo,72,20,1137.12,1,Cross-sell prioritario (mono-póliza estable)
473,0.1667,4_Bajo,47,160,1034.18,1,Cross-sell prioritario (mono-póliza estable)
476,0.1623,4_Bajo,71,125,1542.4,1,Cross-sell prioritario (mono-póliza estable)
483,0.1362,4_Bajo,35,136,1059.35,1,Cross-sell prioritario (mono-póliza estable)
485,0.2719,4_Bajo,49,173,1042.42,1,Cross-sell prioritario (mono-póliza estable)
487,0.239,4_Bajo,40,82,1377.03,1,Cross-sell prioritario (mono-póliza estable)
489,0.2317,4_Bajo,70,78,650.34,1,Cross-sell prioritario (mono-póliza estable)
494,0.3102,4_Bajo,59,51,1326.52,1,Cross-sell prioritario (mono-póliza estable)
495,0.2308,4_Bajo,37,13,1002.86,1,Cross-sell prioritario (mono-póliza estable)
503,0.3445,4_Bajo,83,128,1748.48,1,Cross-sell prioritario (mono-póliza estable)
508,0.2745,4_Bajo,34,69,1775.6,1,Cross-sell prioritario (mono-póliza estable)
509,0.3053,4_Bajo,36,30,330.02,1,Cross-sell prioritario (mono-póliza estable)
515,0.2162,4_Bajo,83,92,1285.09,1,Cross-sell prioritario (mono-póliza estable)
516,0.2688,4_Bajo,25,148,724.57,1,Cross-sell prioritario (mono-póliza estable)
517,0.2173,4_Bajo,77,101,743.46,1,Cross-sell prioritario (mono-póliza estable)
519,0.3033,4_Bajo,50,101,628.83,1,Cross-sell prioritario (mono-póliza estable)
520,0.1639,4_Bajo,58,57,1885.64,1,Cross-sell prioritario (mono-póliza estable)
523,0.2936,4_Bajo,31,32,1668.36,1,Cross-sell prioritario (mono-póliza estable)
531,0.3036,4_Bajo,58,81,120.0,1,Cross-sell prioritario (mono-póliza estable)
